,PPI: Manufacturing: Coke & Refined Petroleum Products
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,4Q2018=100
Source,Department of Census and Statistics
Status,Active
Series ID,474725307 (LIXGVAAAAAAAFF)
SR Code,SR158229157
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/06/2014
Last Obs. Date,11/25/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,30.18248256959578
Variance,424.6357798628233
Standard Deviation,20.606692598833597
Skewness,1.4393294533994974
Kurtosis,1.0662694434707296
Coefficient Variation,0.682736834232174
Min,8.747617631999999
Max,100.8
Median,23.133102175
Sum,
Subtract,
05/01/2023,55.66
05/08/2023,55.66
05/15/2023,55.66
05/22/2023,55.66
05/29/2023,55.66
06/05/2023,58.1781384375
06/12/2023,58.1781384375
06/19/2023,58.1781384375
06/26/2023,58.1781384375
07/03/2023,47.78
07/10/2023,47.78
07/17/2023,47.78
07/24/2023,47.78
07/31/2023,47.78
08/07/2023,59.725
08/14/2023,59.725
08/21/2023,59.725
08/28/2023,59.725
09/04/2023,58.625
09/11/2023,58.625
09/18/2023,58.625
09/25/2023,58.625
10/02/2023,45.72
10/09/2023,45.72
10/16/2023,45.72
10/23/2023,45.72
10/30/2023,45.72
11/06/2023,58.875
11/13/2023,58.875
11/20/2023,58.875
11/27/2023,58.875
12/04/2023,67.4
12/11/2023,67.4
12/18/2023,67.4
12/25/2023,67.4
01/01/2024,60.06
01/08/2024,60.06
01/15/2024,60.06
01/22/2024,60.06
01/29/2024,60.06
02/05/2024,72.6
02/12/2024,72.6
02/19/2024,72.6
02/26/2024,72.6
03/04/2024,66.375
03/11/2024,66.375
03/18/2024,66.375
03/25/2024,66.375
04/01/2024,51.14
04/08/2024,51.14
04/15/2024,51.14
04/22/2024,51.14
04/29/2024,51.14
05/06/2024,64.85
05/13/2024,64.85
05/20/2024,64.85
05/27/2024,64.85
06/03/2024,64.425
06/10/2024,64.425
06/17/2024,64.425
06/24/2024,64.425
07/01/2024,51.54
07/08/2024,51.54
07/15/2024,51.54
07/22/2024,51.54
07/29/2024,51.54
08/05/2024,65.975
08/12/2024,65.975
08/19/2024,65.975
08/26/2024,65.975
09/02/2024,56.48
09/09/2024,56.48
09/16/2024,56.48
09/23/2024,56.48
09/30/2024,56.48
10/07/2024,64
10/14/2024,64
10/21/2024,64
10/28/2024,64
11/04/2024,64
11/11/2024,64
11/18/2024,64
11/25/2024,64
