,GDP: Gross National Income
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,505766057 (LAZAAABBAAABGF)
SR Code,SR201148097
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: Gross National Income {368704357} [SPLICE(GDP: Gross National Income {505766057}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,17/12/2024
Series remarks,
Suggestions,
Mean,282952.44400477887
Variance,14855940743.513084
Standard Deviation,121884.94879809026
Skewness,0.9344360838705482
Kurtosis,-0.024069388919615964
Coefficient Variation,0.43076125115933517
Min,115148.6183682216
Max,595908.7692307692
Median,250893.23076923078
Sum,
Subtract,
09/14/2020,316463.307692308
09/21/2020,316463.307692308
09/28/2020,316463.307692308
10/05/2020,353738.538461538
10/12/2020,353738.538461538
10/19/2020,353738.538461538
10/26/2020,353738.538461538
11/02/2020,353738.538461538
11/09/2020,353738.538461538
11/16/2020,353738.538461538
11/23/2020,353738.538461538
11/30/2020,353738.538461538
12/07/2020,353738.538461538
12/14/2020,353738.538461538
12/21/2020,353738.538461538
12/28/2020,353738.538461538
01/04/2021,345846.230769231
01/11/2021,345846.230769231
01/18/2021,345846.230769231
01/25/2021,345846.230769231
02/01/2021,345846.230769231
02/08/2021,345846.230769231
02/15/2021,345846.230769231
02/22/2021,345846.230769231
03/01/2021,345846.230769231
03/08/2021,345846.230769231
03/15/2021,345846.230769231
03/22/2021,345846.230769231
03/29/2021,345846.230769231
04/05/2021,292487.461538462
04/12/2021,292487.461538462
04/19/2021,292487.461538462
04/26/2021,292487.461538462
05/03/2021,292487.461538462
05/10/2021,292487.461538462
05/17/2021,292487.461538462
05/24/2021,292487.461538462
05/31/2021,292487.461538462
06/07/2021,292487.461538462
06/14/2021,292487.461538462
06/21/2021,292487.461538462
06/28/2021,292487.461538462
07/05/2021,329700.384615385
07/12/2021,329700.384615385
07/19/2021,329700.384615385
07/26/2021,329700.384615385
08/02/2021,329700.384615385
08/09/2021,329700.384615385
08/16/2021,329700.384615385
08/23/2021,329700.384615385
08/30/2021,329700.384615385
09/06/2021,329700.384615385
