,GDP: FCE: Households
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,495105947 (LAZAAABBAAABCG)
SR Code,SR173549697
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: FCE: Households {375579907} [SPLICE(GDP: FCE: Households {495105947}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,185772.4610423654
Variance,7977347929.944695
Standard Deviation,89316.00041394988
Skewness,1.1986322640932057
Kurtosis,0.400815673896608
Coefficient Variation,0.4807817042030862
Min,81078.58747649682
Max,404535.3781118908
Median,157350.83264298152
Sum,
Subtract,
05/11/2020,155585.18516416
05/18/2020,155585.18516416
05/25/2020,155585.18516416
06/01/2020,155585.18516416
06/08/2020,155585.18516416
06/15/2020,155585.18516416
06/22/2020,155585.18516416
06/29/2020,155585.18516416
07/06/2020,202118.166000706
07/13/2020,202118.166000706
07/20/2020,202118.166000706
07/27/2020,202118.166000706
08/03/2020,202118.166000706
08/10/2020,202118.166000706
08/17/2020,202118.166000706
08/24/2020,202118.166000706
08/31/2020,202118.166000706
09/07/2020,202118.166000706
09/14/2020,202118.166000706
09/21/2020,202118.166000706
09/28/2020,202118.166000706
10/05/2020,188468.277261514
10/12/2020,188468.277261514
10/19/2020,188468.277261514
10/26/2020,188468.277261514
11/02/2020,188468.277261514
11/09/2020,188468.277261514
11/16/2020,188468.277261514
11/23/2020,188468.277261514
11/30/2020,188468.277261514
12/07/2020,188468.277261514
12/14/2020,188468.277261514
12/21/2020,188468.277261514
12/28/2020,188468.277261514
01/04/2021,222550.634923077
01/11/2021,222550.634923077
01/18/2021,222550.634923077
01/25/2021,222550.634923077
02/01/2021,222550.634923077
02/08/2021,222550.634923077
02/15/2021,222550.634923077
02/22/2021,222550.634923077
03/01/2021,222550.634923077
03/08/2021,222550.634923077
03/15/2021,222550.634923077
03/22/2021,222550.634923077
03/29/2021,222550.634923077
04/05/2021,186637.421615385
04/12/2021,186637.421615385
04/19/2021,186637.421615385
04/26/2021,186637.421615385
05/03/2021,186637.421615385
05/10/2021,186637.421615385
05/17/2021,186637.421615385
05/24/2021,186637.421615385
05/31/2021,186637.421615385
06/07/2021,186637.421615385
06/14/2021,186637.421615385
06/21/2021,186637.421615385
06/28/2021,186637.421615385
07/05/2021,206211.038692308
07/12/2021,206211.038692308
07/19/2021,206211.038692308
07/26/2021,206211.038692308
08/02/2021,206211.038692308
08/09/2021,206211.038692308
08/16/2021,206211.038692308
08/23/2021,206211.038692308
08/30/2021,206211.038692308
09/06/2021,206211.038692308
09/13/2021,206211.038692308
09/20/2021,206211.038692308
09/27/2021,206211.038692308
10/04/2021,213756.595384615
10/11/2021,213756.595384615
10/18/2021,213756.595384615
10/25/2021,213756.595384615
11/01/2021,213756.595384615
11/08/2021,213756.595384615
11/15/2021,213756.595384615
11/22/2021,213756.595384615
11/29/2021,213756.595384615
12/06/2021,213756.595384615
12/13/2021,213756.595384615
12/20/2021,213756.595384615
12/27/2021,213756.595384615
01/03/2022,275507.027461538
01/10/2022,275507.027461538
01/17/2022,275507.027461538
01/24/2022,275507.027461538
01/31/2022,275507.027461538
02/07/2022,275507.027461538
02/14/2022,275507.027461538
02/21/2022,275507.027461538
02/28/2022,275507.027461538
03/07/2022,275507.027461538
03/14/2022,275507.027461538
03/21/2022,275507.027461538
03/28/2022,275507.027461538
04/04/2022,271274.598846154
04/11/2022,271274.598846154
04/18/2022,271274.598846154
04/25/2022,271274.598846154
05/02/2022,271274.598846154
05/09/2022,271274.598846154
05/16/2022,271274.598846154
05/23/2022,271274.598846154
05/30/2022,271274.598846154
06/06/2022,271274.598846154
06/13/2022,271274.598846154
06/20/2022,271274.598846154
06/27/2022,271274.598846154
07/04/2022,372053.221
07/11/2022,372053.221
07/18/2022,372053.221
07/25/2022,372053.221
08/01/2022,372053.221
08/08/2022,372053.221
08/15/2022,372053.221
08/22/2022,372053.221
08/29/2022,372053.221
09/05/2022,372053.221
09/12/2022,372053.221
09/19/2022,372053.221
09/26/2022,372053.221
10/03/2022,335854.304538462
10/10/2022,335854.304538462
10/17/2022,335854.304538462
10/24/2022,335854.304538462
10/31/2022,335854.304538462
11/07/2022,335854.304538462
11/14/2022,335854.304538462
11/21/2022,335854.304538462
11/28/2022,335854.304538462
12/05/2022,335854.304538462
12/12/2022,335854.304538462
12/19/2022,335854.304538462
12/26/2022,335854.304538462
01/02/2023,390571.035923077
01/09/2023,390571.035923077
01/16/2023,390571.035923077
01/23/2023,390571.035923077
01/30/2023,390571.035923077
02/06/2023,390571.035923077
02/13/2023,390571.035923077
02/20/2023,390571.035923077
02/27/2023,390571.035923077
03/06/2023,390571.035923077
03/13/2023,390571.035923077
03/20/2023,390571.035923077
03/27/2023,390571.035923077
04/03/2023,321871.732923077
04/10/2023,321871.732923077
04/17/2023,321871.732923077
04/24/2023,321871.732923077
05/01/2023,321871.732923077
05/08/2023,321871.732923077
05/15/2023,321871.732923077
05/22/2023,321871.732923077
05/29/2023,321871.732923077
06/05/2023,321871.732923077
06/12/2023,321871.732923077
06/19/2023,321871.732923077
06/26/2023,321871.732923077
07/03/2023,397571.240615385
07/10/2023,397571.240615385
07/17/2023,397571.240615385
07/24/2023,397571.240615385
07/31/2023,397571.240615385
08/07/2023,397571.240615385
08/14/2023,397571.240615385
08/21/2023,397571.240615385
08/28/2023,397571.240615385
09/04/2023,397571.240615385
09/11/2023,397571.240615385
09/18/2023,397571.240615385
09/25/2023,397571.240615385
10/02/2023,363717.297923077
10/09/2023,363717.297923077
10/16/2023,363717.297923077
10/23/2023,363717.297923077
10/30/2023,363717.297923077
11/06/2023,363717.297923077
11/13/2023,363717.297923077
11/20/2023,363717.297923077
11/27/2023,363717.297923077
12/04/2023,363717.297923077
12/11/2023,363717.297923077
12/18/2023,363717.297923077
12/25/2023,363717.297923077
01/01/2024,404535.378111891
01/08/2024,404535.378111891
01/15/2024,404535.378111891
01/22/2024,404535.378111891
01/29/2024,404535.378111891
02/05/2024,404535.378111891
02/12/2024,404535.378111891
02/19/2024,404535.378111891
02/26/2024,404535.378111891
03/04/2024,404535.378111891
03/11/2024,404535.378111891
03/18/2024,404535.378111891
03/25/2024,404535.378111891
04/01/2024,344462.532911092
04/08/2024,344462.532911092
04/15/2024,344462.532911092
04/22/2024,344462.532911092
04/29/2024,344462.532911092
05/06/2024,344462.532911092
05/13/2024,344462.532911092
05/20/2024,344462.532911092
05/27/2024,344462.532911092
06/03/2024,344462.532911092
06/10/2024,344462.532911092
06/17/2024,344462.532911092
06/24/2024,344462.532911092
07/01/2024,391620.80146237
07/08/2024,391620.80146237
07/15/2024,391620.80146237
07/22/2024,391620.80146237
07/29/2024,391620.80146237
08/05/2024,391620.80146237
08/12/2024,391620.80146237
08/19/2024,391620.80146237
08/26/2024,391620.80146237
09/02/2024,391620.80146237
09/09/2024,391620.80146237
09/16/2024,391620.80146237
09/23/2024,391620.80146237
09/30/2024,391620.80146237
